Symbol,Sektor,Untersektor
SNDK,Information Technology,"Technology Hardware, Storage & Peripherals"
MU,Information Technology,Semiconductors
DELL,Information Technology,"Technology Hardware, Storage & Peripherals"
MRVL,Information Technology,Semiconductors
WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
INTC,Information Technology,Semiconductors
STX,Information Technology,"Technology Hardware, Storage & Peripherals"
AMD,Information Technology,Semiconductors
FLEX,Information Technology,Electronic Manufacturing Services
HPE,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Information Technology,Semiconductor Materials & Equipment
LRCX,Information Technology,Semiconductor Materials & Equipment
COHR,Information Technology,Electronic Components
GLW,Information Technology,Electronic Components
ON,Information Technology,Semiconductors
TER,Information Technology,Semiconductor Materials & Equipment
KLAC,Information Technology,Semiconductor Materials & Equipment
LITE,Information Technology,Communications Equipment
FTNT,Information Technology,Systems Software
FIX,Industrials,Construction & Engineering
MRNA,Health Care,Biotechnology
DVA,Health Care,Health Care Services
CNC,Health Care,Managed Health Care
CIEN,Information Technology,Communications Equipment
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment
DDOG,Information Technology,Application Software
HUM,Health Care,Managed Health Care
PANW,Information Technology,Systems Software
CSCO,Information Technology,Communications Equipment
GNRC,Industrials,Electrical Components & Equipment
TXN,Information Technology,Semiconductors
JBL,Information Technology,Electronic Manufacturing Services
KEYS,Information Technology,Electronic Equipment & Instruments
VRT,Industrials,Electrical Components & Equipment
CRWD,Information Technology,Systems Software
GEV,Industrials,Heavy Electrical Equipment
DAL,Industrials,Passenger Airlines
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals"
NUE,Materials,Steel
PWR,Industrials,Construction & Engineering
ADI,Information Technology,Semiconductors
TGT,Consumer Staples,Consumer Staples Merchandise Retail
JBHT,Industrials,Cargo Ground Transportation
STLD,Materials,Steel
HST,Real Estate,Hotel & Resort REITs
LUV,Industrials,Passenger Airlines
STT,Financials,Asset Management & Custody Banks
TRGP,Energy,Oil & Gas Storage & Transportation
MGM,Consumer Discretionary,Casinos & Gaming
FFIV,Information Technology,Communications Equipment
IBKR,Financials,Investment Banking & Brokerage
MCHP,Information Technology,Semiconductors
CVS,Health Care,Health Care Services
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment
BEN,Financials,Asset Management & Custody Banks
UAL,Industrials,Passenger Airlines
IRM,Real Estate,Other Specialized REITs
C,Financials,Diversified Banks
NXPI,Information Technology,Semiconductors
MS,Financials,Investment Banking & Brokerage
WST,Health Care,Health Care Supplies
MPWR,Information Technology,Semiconductors
CARR,Industrials,Building Products
GWW,Industrials,Industrial Machinery & Supplies & Components
VTRS,Health Care,Pharmaceuticals
ODFL,Industrials,Cargo Ground Transportation
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
GS,Financials,Investment Banking & Brokerage
FDX,Industrials,Air Freight & Logistics
EQIX,Real Estate,Data Center REITs
HWM,Industrials,Aerospace & Defense
GL,Financials,Life & Health Insurance
UNH,Health Care,Managed Health Care
URI,Industrials,Trading Companies & Distributors
CASY,Consumer Staples,Food Retail
WSM,Consumer Discretionary,Homefurnishing Retail
NTRS,Financials,Asset Management & Custody Banks
VLO,Energy,Oil & Gas Refining & Marketing
SWK,Industrials,Industrial Machinery & Supplies & Components
DOC,Real Estate,Health Care REITs
BNY,Financials,Asset Management & Custody Banks
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,Information Technology,Internet Services & Infrastructure
FRT,Real Estate,Retail REITs
GE,Industrials,Aerospace & Defense
ROST,Consumer Discretionary,Apparel Retail
MPC,Energy,Oil & Gas Refining & Marketing
CFG,Financials,Regional Banks
APH,Information Technology,Electronic Components
QCOM,Information Technology,Semiconductors
PFG,Financials,Life & Health Insurance
SPG,Real Estate,Retail REITs
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
CSX,Industrials,Rail Transportation
CAH,Health Care,Health Care Distributors
IEX,Industrials,Industrial Machinery & Supplies & Components
WAB,Industrials,Construction Machinery & Heavy Transportation Equipment
EBAY,Consumer Discretionary,Broadline Retail
EIX,Utilities,Electric Utilities
ROK,Industrials,Electrical Components & Equipment
KIM,Real Estate,Retail REITs
FITB,Financials,Regional Banks
MAS,Industrials,Building Products
EME,Industrials,Construction & Engineering
KEY,Financials,Regional Banks
AIZ,Financials,Multi-line Insurance
MRK,Health Care,Pharmaceuticals
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
PNC,Financials,Diversified Banks
SW,Materials,Paper & Plastic Packaging Products & Materials
LLY,Health Care,Pharmaceuticals
TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
MO,Consumer Staples,Tobacco
